Seed,index,X_b,Q,t,X,F,errF
400,1,0.2,3,-0.5,5.2628,0.0881003,0.00944255
400,1,0.2,3,-0.5,5.73767,0.101011,0.0114109
400,1,0.4,3,-0.5,-0.147622,0.0242699,0.00204587
400,1,0.4,3,-0.5,1.16741,0.0189775,0.00341005
400,1,0.4,3,-0.5,2.27313,0.00978237,0.00162837
400,1,0.4,3,-0.5,3.28716,0.00673388,0.000161939
400,1,0.4,3,-0.5,4.16189,0.0108663,0.000289216
400,1,0.4,3,-0.5,5.2628,0.0201217,0.0019649
400,1,0.4,3,-0.5,5.73767,0.0230705,0.00283742
400,1,0.6,3,-0.5,-0.147622,0.00935761,0.000405518
400,1,0.6,3,-0.5,1.16741,0.00731705,0.0021274
400,1,0.6,3,-0.5,2.27313,0.00377174,0.000967199
400,1,0.6,3,-0.5,3.28716,0.00259635,0.00029319
400,1,0.6,3,-0.5,4.16189,0.00418966,0.000445213
400,1,0.6,3,-0.5,5.2628,0.00775821,0.000604915
400,1,0.6,3,-0.5,5.73767,0.00889515,0.00127813
400,1,0.8,3,-0.5,-0.147622,0.00438171,0.000141831
400,1,0.8,3,-0.5,1.16741,0.00342621,0.00169941
400,1,0.8,3,-0.5,2.27313,0.00176612,0.000746581
400,1,0.8,3,-0.5,3.28716,0.00121574,0.000445056
400,1,0.8,3,-0.5,4.16189,0.00196181,0.000690276
400,1,0.8,3,-0.5,5.2628,0.00363279,0.000151119
400,1,0.8,3,-0.5,5.73767,0.00416516,0.000757835
400,1,0.2,3.5,-0.5,-0.147622,0.107137,0.0111612
400,1,0.2,3.5,-0.5,1.16741,0.0837742,0.0105377
400,1,0.2,3.5,-0.5,2.27313,0.0431833,0.00530247
400,1,0.2,3.5,-0.5,3.28716,0.029726,0.00269108
400,1,0.2,3.5,-0.5,4.16189,0.0479681,0.00437042
400,1,0.2,3.5,-0.5,5.2628,0.0888251,0.00952227
400,1,0.2,3.5,-0.5,5.73767,0.101842,0.0115023
400,1,0.4,3.5,-0.5,-0.147622,0.0250467,0.00213132
400,1,0.4,3.5,-0.5,1.16741,0.0195849,0.00347687
400,1,0.4,3.5,-0.5,2.27313,0.0100955,0.00166281
400,1,0.4,3.5,-0.5,3.28716,0.00694943,0.000185649
400,1,0.4,3.5,-0.5,4.16189,0.0112141,0.000327477
400,1,0.4,3.5,-0.5,5.2628,0.0207658,0.00203575
400,1,0.4,3.5,-0.5,5.73767,0.0238089,0.00291865
400,1,0.6,3.5,-0.5,-0.147622,0.0100021,0.000476417
400,1,0.6,3.5,-0.5,1.16741,0.00782103,0.00218284
400,1,0.6,3.5,-0.5,2.27313,0.00403153,0.000995776
400,1,0.6,3.5,-0.5,3.28716,0.00277518,0.000273518
400,1,0.6,3.5,-0.5,4.16189,0.00447823,0.00041347
400,1,0.6,3.5,-0.5,5.2628,0.00829258,0.000663696
400,1,0.6,3.5,-0.5,5.73767,0.00950783,0.00134553
400,1,0.8,3.5,-0.5,-0.147622,0.00488724,8.62222E-05
400,1,0.8,3.5,-0.5,1.16741,0.00382151,0.00174289
400,1,0.8,3.5,-0.5,2.27313,0.00196988,0.000768995
400,1,0.8,3.5,-0.5,3.28716,0.00135601,0.000429627
400,1,0.8,3.5,-0.5,4.16189,0.00218815,0.000665379
400,1,0.8,3.5,-0.5,5.2628,0.00405192,0.000197223
400,1,0.8,3.5,-0.5,5.73767,0.00464571,0.000810695
400,1,0.2,4,-0.5,-0.147622,0.10771,0.0112243
400,1,0.2,4,-0.5,1.16741,0.0842224,0.010587
400,1,0.2,4,-0.5,2.27313,0.0434143,0.00532788
400,1,0.2,4,-0.5,3.28716,0.0298851,0.00270857
400,1,0.2,4,-0.5,4.16189,0.0482248,0.00439865
400,1,0.2,4,-0.5,5.2628,0.0893003,0.00957455
400,1,0.2,4,-0.5,5.73767,0.102387,0.0115622
400,1,0.4,4,-0.5,-0.147622,0.0255711,0.002189
400,1,0.4,4,-0.5,1.16741,0.0199949,0.00352197
400,1,0.4,4,-0.5,2.27313,0.0103068,0.00168606
400,1,0.4,4,-0.5,3.28716,0.00709491,0.000201653
400,1,0.4,4,-0.5,4.16189,0.0114489,0.000353301
400,1,0.4,4,-0.5,5.2628,0.0212005,0.00208357
400,1,0.4,4,-0.5,5.73767,0.0243074,0.00297348
400,1,0.6,4,-0.5,-0.147622,0.0104568,0.000526426
400,1,0.6,4,-0.5,1.16741,0.00817652,0.00222194
400,1,0.6,4,-0.5,2.27313,0.00421477,0.00101593
400,1,0.6,4,-0.5,3.28716,0.00290132,0.000259643
400,1,0.6,4,-0.5,4.16189,0.00468178,0.00039108
400,1,0.6,4,-0.5,5.2628,0.0086695,0.000705157
400,1,0.6,4,-0.5,5.73767,0.00993999,0.00139307
400,1,0.8,4,-0.5,-0.147622,0.00526366,4.48167E-05
400,1,0.8,4,-0.5,1.16741,0.00411584,0.00177527
400,1,0.8,4,-0.5,2.27313,0.0021216,0.000785684
400,1,0.8,4,-0.5,3.28716,0.00146045,0.000418139
400,1,0.8,4,-0.5,4.16189,0.00235668,0.000646841
400,1,0.8,4,-0.5,5.2628,0.00436399,0.000231551
400,1,0.8,4,-0.5,5.73767,0.00500352,0.000850054
400,1,0.2,4.5,-0.5,-0.147622,0.108106,0.0112678
400,1,0.2,4.5,-0.5,1.16741,0.0845317,0.010621
400,1,0.2,4.5,-0.5,2.27313,0.0435738,0.00534542
400,1,0.2,4.5,-0.5,3.28716,0.0299948,0.00272065
400,1,0.2,4.5,-0.5,4.16189,0.0484019,0.00441813
400,1,0.2,4.5,-0.5,5.2628,0.0896283,0.00961063
400,1,0.2,4.5,-0.5,5.73767,0.102763,0.0116036
400,1,0.4,4.5,-0.5,-0.147622,0.0259402,0.0022296
400,1,0.4,4.5,-0.5,1.16741,0.0202835,0.00355372
400,1,0.4,4.5,-0.5,2.27313,0.0104556,0.00170242
400,1,0.4,4.5,-0.5,3.28716,0.00719731,0.000212917
400,1,0.4,4.5,-0.5,4.16189,0.0116141,0.000371477
400,1,0.4,4.5,-0.5,5.2628,0.0215065,0.00211722
400,1,0.4,4.5,-0.5,5.73767,0.0246582,0.00301207
400,1,0.6,4.5,-0.5,-0.147622,0.0107866,0.000562709
400,1,0.6,4.5,-0.5,1.16741,0.00843444,0.00225032
400,1,0.6,4.5,-0.5,2.27313,0.00434772,0.00103056
400,1,0.6,4.5,-0.5,3.28716,0.00299284,0.000249576
400,1,0.6,4.5,-0.5,4.16189,0.00482946,0.000374835
400,1,0.6,4.5,-0.5,5.2628,0.00894297,0.000735238
400,1,0.6,4.5,-0.5,5.73767,0.0102535,0.00142756
400,1,0.8,4.5,-0.5,-0.147622,0.00554743,1.36018E-05
400,1,0.8,4.5,-0.5,1.16741,0.00433773,0.00179968
400,1,0.8,4.5,-0.5,2.27313,0.00223598,0.000798266
400,1,0.8,4.5,-0.5,3.28716,0.00153918,0.000409478
400,1,0.8,4.5,-0.5,4.16189,0.00248373,0.000632865
400,1,0.8,4.5,-0.5,5.2628,0.00459926,0.000257431
400,1,0.8,4.5,-0.5,5.73767,0.00527327,0.000879727
400,1,0.2,5,-0.5,-0.147622,0.10839,0.0112991
400,1,0.2,5,-0.5,1.16741,0.0847541,0.0106455
400,1,0.2,5,-0.5,2.27313,0.0436884,0.00535803
400,1,0.2,5,-0.5,3.28716,0.0300737,0.00272932
400,1,0.2,5,-0.5,4.16189,0.0485292,0.00443214
400,1,0.2,5,-0.5,5.2628,0.0898641,0.00963656
400,1,0.2,5,-0.5,5.73767,0.103033,0.0116333
400,1,0.4,5,-0.5,-0.147622,0.0262091,0.00225918
400,1,0.4,5,-0.5,1.16741,0.0204938,0.00357685
